genome	magscot_domain	magscot_score	cluster_97_final	genome_rep97	GreatApes_95_final	kingdom	phylum	class	order	family	genus	species	in_manara	in_uhgg	novel
H07626-L1_cleanbin_000022	Bacteria	0.891666666666667	Gberingei_cluster97_000013	H07617-L1_cleanbin_000004	GreatApes_cluster95_000877	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__Limivicinus_spGreatApes000877	FALSE	FALSE	TRUE
H07685-L1_cleanbin_000008	Bacteria	0.880810397553517	Gberingei_cluster97_000013	H07617-L1_cleanbin_000004	GreatApes_cluster95_000877	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__Limivicinus_spGreatApes000877	FALSE	FALSE	TRUE
H07627-L1_cleanbin_000033	Bacteria	0.861858974358974	Gberingei_cluster97_000013	H07617-L1_cleanbin_000004	GreatApes_cluster95_000877	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__Limivicinus_spGreatApes000877	FALSE	FALSE	TRUE
MGYG000001192	Bacteria	0.983333333333333	MGYG000001192	MGYG000001192	GreatApes_cluster95_000878	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__Limivicinus_sp900549865	FALSE	TRUE	FALSE
H07686-L1_cleanbin_000004	Bacteria	0.983333333333333	HsA1_cluster97_000019	H07686-L1_cleanbin_000004	GreatApes_cluster95_000879	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia_sp900763965	TRUE	TRUE	FALSE
MGYG000002124	Bacteria	0.798024054982818	MGYG000002124	MGYG000002124	GreatApes_cluster95_000879	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia_sp900763965	TRUE	TRUE	FALSE
ManaraSGB15016	Bacteria	0.747344322344322	ManaraSGB15016	ManaraSGB15016	GreatApes_cluster95_000879	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia_sp900763965	TRUE	TRUE	FALSE
H07659-L1_cleanbin_000002	Bacteria	0.983333333333333	Ppan_cluster97_000008	H07659-L1_cleanbin_000002	GreatApes_cluster95_000880	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG7114	s__RGIG7114_spGreatApes000880	FALSE	FALSE	TRUE
H07682-L1_cleanbin_000004	Bacteria	0.983333333333333	Ppan_cluster97_000008	H07659-L1_cleanbin_000002	GreatApes_cluster95_000880	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG7114	s__RGIG7114_spGreatApes000880	FALSE	FALSE	TRUE
H07681-L1_cleanbin_000013	Bacteria	0.958333333333333	Ppan_cluster97_000008	H07659-L1_cleanbin_000002	GreatApes_cluster95_000880	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG7114	s__RGIG7114_spGreatApes000880	FALSE	FALSE	TRUE
MGYG000002720	Bacteria	0.983333333333333	MGYG000002720	MGYG000002720	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
E07147-L1_cleanbin_000009	Bacteria	0.974858757062147	HsG_cluster97_000102	E07147-L1_cleanbin_000009	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
E07148-L1_cleanbin_000016	Bacteria	0.940804597701149	HsG_cluster97_000102	E07147-L1_cleanbin_000009	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
E07175-L1_cleanbin_000023	Bacteria	0.932246376811594	HsG_cluster97_000102	E07147-L1_cleanbin_000009	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
E07189-L1_cleanbin_000027	Bacteria	0.928869047619048	HsG_cluster97_000102	E07147-L1_cleanbin_000009	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
E07193-L1_cleanbin_000035	Bacteria	0.880810397553517	HsG_cluster97_000102	E07147-L1_cleanbin_000009	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
E07146-L1_cleanbin_000025	Bacteria	0.84702380952381	HsG_cluster97_000102	E07147-L1_cleanbin_000009	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
E07160-L1_cleanbin_000044	Bacteria	0.805882352941176	HsG_cluster97_000102	E07147-L1_cleanbin_000009	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
H07628-L1_cleanbin_000029	Bacteria	0.77323883161512	HsA1_cluster97_000235	H07628-L1_cleanbin_000029	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
ManaraSGB15106	Bacteria	0.758870967741936	ManaraSGB15106	ManaraSGB15106	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
E07150-L1_cleanbin_000055	Bacteria	0.707456140350877	HsG_cluster97_000102	E07147-L1_cleanbin_000009	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
H07597-L1_cleanbin_000026	Bacteria	0.641666666666667	HsA2_cluster97_000273	H07597-L1_cleanbin_000026	GreatApes_cluster95_000881	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83_sp000435555	TRUE	TRUE	FALSE
MGYG000004482	Bacteria	0.983333333333333	MGYG000004482	MGYG000004482	GreatApes_cluster95_000882	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__ER4	s__ER4_sp900546295	FALSE	TRUE	FALSE
MGYG000001500	Bacteria	0.983333333333333	MGYG000001500	MGYG000001500	GreatApes_cluster95_000883	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter_asaccharolyticus	FALSE	TRUE	FALSE
E07192-L1_cleanbin_000011	Bacteria	0.970726495726496	HsG_cluster97_000112	E07192-L1_cleanbin_000011	GreatApes_cluster95_000883	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter_asaccharolyticus	FALSE	TRUE	FALSE
E07187-L1_cleanbin_000018	Bacteria	0.932371794871795	HsG_cluster97_000112	E07192-L1_cleanbin_000011	GreatApes_cluster95_000883	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter_asaccharolyticus	FALSE	TRUE	FALSE
E07146-L1_cleanbin_000022	Bacteria	0.85	HsG_cluster97_000112	E07192-L1_cleanbin_000011	GreatApes_cluster95_000883	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter_asaccharolyticus	FALSE	TRUE	FALSE
E07184-L1_cleanbin_000024	Bacteria	0.833333333333333	HsG_cluster97_000112	E07192-L1_cleanbin_000011	GreatApes_cluster95_000883	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter_asaccharolyticus	FALSE	TRUE	FALSE
E07180-L1_cleanbin_000033	Bacteria	0.828333333333333	HsG_cluster97_000112	E07192-L1_cleanbin_000011	GreatApes_cluster95_000883	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter_asaccharolyticus	FALSE	TRUE	FALSE
E07183-L1_cleanbin_000032	Bacteria	0.8	HsG_cluster97_000112	E07192-L1_cleanbin_000011	GreatApes_cluster95_000883	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter_asaccharolyticus	FALSE	TRUE	FALSE
MGYG000002340	Bacteria	0.983333333333333	MGYG000002340	MGYG000002340	GreatApes_cluster95_000884	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	s__Intestinimonas_butyriciproducens	FALSE	TRUE	FALSE
E07178-L1_cleanbin_000026	Bacteria	0.855952380952381	HsG_cluster97_000268	E07178-L1_cleanbin_000026	GreatApes_cluster95_000884	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	s__Intestinimonas_butyriciproducens	FALSE	TRUE	FALSE
E07184-L1_cleanbin_000023	Bacteria	0.819949494949495	HsG_cluster97_000268	E07178-L1_cleanbin_000026	GreatApes_cluster95_000884	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	s__Intestinimonas_butyriciproducens	FALSE	TRUE	FALSE
MGYG000003770	Bacteria	0.983333333333333	MGYG000003770	MGYG000003770	GreatApes_cluster95_000885	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	s__Flavonifractor_spGreatApes000885	FALSE	TRUE	FALSE
MGYG000003412	Bacteria	0.983333333333333	MGYG000003412	MGYG000003412	GreatApes_cluster95_000886	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__HGM12789	s__HGM12789_sp900766585	FALSE	TRUE	FALSE
MGYG000001527	Bacteria	0.983333333333333	MGYG000001527	MGYG000001527	GreatApes_cluster95_000887	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Fournierella	s__Fournierella_massiliensis	FALSE	TRUE	FALSE
MGYG000002545	Bacteria	0.983333333333333	MGYG000002545	MGYG000002545	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
E07187-L1_cleanbin_000012	Bacteria	0.94957264957265	HsG_cluster97_000180	E07187-L1_cleanbin_000012	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
H07618-L1_cleanbin_000037	Bacteria	0.850623052959502	HsA1_cluster97_000197	H07618-L1_cleanbin_000037	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
E07178-L1_cleanbin_000032	Bacteria	0.788690476190476	HsG_cluster97_000180	E07187-L1_cleanbin_000012	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
E07192-L1_cleanbin_000030	Bacteria	0.78219696969697	HsG_cluster97_000180	E07187-L1_cleanbin_000012	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
E07147-L1_cleanbin_000038	Bacteria	0.764026402640264	HsG_cluster97_000180	E07187-L1_cleanbin_000012	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
E07188-L1_cleanbin_000031	Bacteria	0.719444444444444	HsG_cluster97_000180	E07187-L1_cleanbin_000012	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
E07190-L1_cleanbin_000024	Bacteria	0.676470588235294	HsG_cluster97_000180	E07187-L1_cleanbin_000012	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
ManaraSGB15316	Bacteria	0.642581300813008	ManaraSGB15316	ManaraSGB15316	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
E07150-L1_cleanbin_000065	Bacteria	0.536274509803922	HsG_cluster97_000180	E07187-L1_cleanbin_000012	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
H07625-L1_cleanbin_000047	Bacteria	0.505729166666667	HsA1_cluster97_000197	H07618-L1_cleanbin_000037	GreatApes_cluster95_000888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii_G	TRUE	TRUE	FALSE
MGYG000001448	Bacteria	0.983333333333333	MGYG000001448	MGYG000001448	GreatApes_cluster95_000889	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermabacteraceae	g__Dermabacter	s__Dermabacter_hominis	FALSE	TRUE	FALSE
MGYG000000112	Bacteria	0.983333333333333	MGYG000000112	MGYG000000112	GreatApes_cluster95_000890	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Actinomyces_sp900323545	FALSE	TRUE	FALSE
MGYG000000299	Bacteria	0.983333333333333	MGYG000000299	MGYG000000299	GreatApes_cluster95_000891	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia_sp900541895	FALSE	TRUE	FALSE
MGYG000001509	Bacteria	0.983333333333333	MGYG000001509	MGYG000001509	GreatApes_cluster95_000892	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Flaviflexus	s__Flaviflexus_massiliensis	FALSE	TRUE	FALSE
H07626-L1_cleanbin_000002	Bacteria	0.983333333333333	Gberingei_cluster97_000016	H07626-L1_cleanbin_000002	GreatApes_cluster95_000893	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__UBA1711_spGreatApes000893	FALSE	FALSE	TRUE
H07634-L1_cleanbin_000003	Bacteria	0.983333333333333	Gberingei_cluster97_000016	H07626-L1_cleanbin_000002	GreatApes_cluster95_000893	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__UBA1711_spGreatApes000893	FALSE	FALSE	TRUE
H07646-L1_cleanbin_000006	Bacteria	0.983333333333333	Gberingei_cluster97_000016	H07626-L1_cleanbin_000002	GreatApes_cluster95_000893	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__UBA1711_spGreatApes000893	FALSE	FALSE	TRUE
H07631-L1_cleanbin_000007	Bacteria	0.97909604519774	Gberingei_cluster97_000016	H07626-L1_cleanbin_000002	GreatApes_cluster95_000893	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__UBA1711_spGreatApes000893	FALSE	FALSE	TRUE
H07602-L1_cleanbin_000004	Bacteria	0.975	Gberingei_cluster97_000016	H07626-L1_cleanbin_000002	GreatApes_cluster95_000893	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__UBA1711_spGreatApes000893	FALSE	FALSE	TRUE
H07616-L1_cleanbin_000007	Bacteria	0.975	Gberingei_cluster97_000016	H07626-L1_cleanbin_000002	GreatApes_cluster95_000893	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__UBA1711_spGreatApes000893	FALSE	FALSE	TRUE
H07617-L1_cleanbin_000008	Bacteria	0.975	Gberingei_cluster97_000016	H07626-L1_cleanbin_000002	GreatApes_cluster95_000893	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__UBA1711_spGreatApes000893	FALSE	FALSE	TRUE
H07627-L1_cleanbin_000005	Bacteria	0.975	Gberingei_cluster97_000016	H07626-L1_cleanbin_000002	GreatApes_cluster95_000893	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__UBA1711_spGreatApes000893	FALSE	FALSE	TRUE
H07633-L1_cleanbin_000006	Bacteria	0.966666666666667	Gberingei_cluster97_000016	H07626-L1_cleanbin_000002	GreatApes_cluster95_000893	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__UBA1711_spGreatApes000893	FALSE	FALSE	TRUE
MGYG000000101	Bacteria	0.983333333333333	MGYG000000101	MGYG000000101	GreatApes_cluster95_000894	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__Micrococcus_luteus	FALSE	TRUE	FALSE
MGYG000003119	Bacteria	0.983333333333333	MGYG000003119	MGYG000003119	GreatApes_cluster95_000895	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__Capnocytophaga_ochracea	FALSE	TRUE	FALSE
H07631-L1_cleanbin_000002	Bacteria	0.983333333333333	Gberingei_cluster97_000017	H07631-L1_cleanbin_000002	GreatApes_cluster95_000896	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA1227	s__UBA1227_spGreatApes000896	FALSE	FALSE	TRUE
H07634-L1_cleanbin_000039	Bacteria	0.903030303030303	Gberingei_cluster97_000017	H07631-L1_cleanbin_000002	GreatApes_cluster95_000896	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA1227	s__UBA1227_spGreatApes000896	FALSE	FALSE	TRUE
MGYG000003259	Bacteria	0.983333333333333	MGYG000003259	MGYG000003259	GreatApes_cluster95_000897	d__Bacteria	p__Firmicutes_G	c__SHA-98	o__DTUO25	f__HGM14224	g__HGM14224	s__HGM14224_sp900761905	FALSE	TRUE	FALSE
G02627-L1_cleanbin_000004	Bacteria	0.983333333333333	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
G02634-L1_cleanbin_000006	Bacteria	0.983333333333333	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
G02648-L1_cleanbin_000003	Bacteria	0.983333333333333	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
H07636-L1_cleanbin_000004	Bacteria	0.983333333333333	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
G02642-L1_cleanbin_000005	Bacteria	0.975	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
G02644-L1_cleanbin_000005	Bacteria	0.975	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
G02645-L1_cleanbin_000007	Bacteria	0.975	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
G02649-L1_cleanbin_000043	Bacteria	0.866666666666667	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
G02653-L1_cleanbin_000044	Bacteria	0.864465408805031	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
G02630-L1_cleanbin_000043	Bacteria	0.710852713178295	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
H07645-L1_cleanbin_000055	Bacteria	0.691666666666667	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
G02629-L1_cleanbin_000035	Bacteria	0.625	Ptver_cluster97_000038	G02627-L1_cleanbin_000004	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
H07637-L1_cleanbin_000066	Bacteria	0.561904761904762	Ptver_cluster97_000492	H07637-L1_cleanbin_000066	GreatApes_cluster95_000898	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__CAG-488_spGreatApes000898	FALSE	FALSE	TRUE
MGYG000000457	Bacteria	0.983333333333333	MGYG000000457	MGYG000000457	GreatApes_cluster95_000899	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__UBA737_sp900549755	FALSE	TRUE	FALSE
MGYG000000561	Bacteria	0.983333333333333	MGYG000000561	MGYG000000561	GreatApes_cluster95_000900	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__CAG-115_sp003507295	FALSE	TRUE	FALSE
H07639-L1_cleanbin_000005	Bacteria	0.974859943977591	HsA2_cluster97_000050	H07639-L1_cleanbin_000005	GreatApes_cluster95_000900	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__CAG-115_sp003507295	FALSE	TRUE	FALSE
E07160-L1_cleanbin_000005	Bacteria	0.983333333333333	HsG_cluster97_000050	E07160-L1_cleanbin_000005	GreatApes_cluster95_000901	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__CAG-115_sp003531585	FALSE	TRUE	FALSE
E07188-L1_cleanbin_000004	Bacteria	0.983333333333333	HsG_cluster97_000050	E07160-L1_cleanbin_000005	GreatApes_cluster95_000901	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__CAG-115_sp003531585	FALSE	TRUE	FALSE
MGYG000000362	Bacteria	0.983333333333333	MGYG000000362	MGYG000000362	GreatApes_cluster95_000901	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__CAG-115_sp003531585	FALSE	TRUE	FALSE
E07182-L1_cleanbin_000002	Bacteria	0.983333333333333	HsG_cluster97_000049	E07182-L1_cleanbin_000002	GreatApes_cluster95_000902	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D_bicirculans	TRUE	TRUE	FALSE
MGYG000002321	Bacteria	0.983333333333333	MGYG000002321	MGYG000002321	GreatApes_cluster95_000902	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D_bicirculans	TRUE	TRUE	FALSE
E07146-L1_cleanbin_000001	Bacteria	0.983263305322129	HsG_cluster97_000049	E07182-L1_cleanbin_000002	GreatApes_cluster95_000902	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D_bicirculans	TRUE	TRUE	FALSE
E07172-L1_cleanbin_000006	Bacteria	0.983263305322129	HsG_cluster97_000049	E07182-L1_cleanbin_000002	GreatApes_cluster95_000902	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D_bicirculans	TRUE	TRUE	FALSE
E07180-L1_cleanbin_000007	Bacteria	0.983263305322129	HsG_cluster97_000049	E07182-L1_cleanbin_000002	GreatApes_cluster95_000902	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D_bicirculans	TRUE	TRUE	FALSE
